language,x1,x2,x3,x4,x5,x6,x7,x8
guan1279,-,S,-,-,E,-,-,-
xian1255,-,s,-,-,E,-,-,-
nann1239,-,s,-,-,E,-,-,-
yuet1238,-,s,-,-,a,-,-,-
guiy1235,-,s,-,-,E,-,-,-
wuha1234,-,s,-,-,o,-,-,-
chan1326,-,S,-,-,o,-,-,-
chen1267,-,s,-,-,e,-,-,-
kunm1234,-,S,-,-,3,-,-,-
hain1237,-,t,i,y,a,-,-,-
east2363,-,s,-,-,i,y,3,t
liuq1235,-,5,-,-,i,N,-,-
cent2009,-,N,-,-,i,N,-,-
dong1287,-,p,-,-,E,-,-,-
nunu1247,-,p,-,-,e,i,-,-
numa1251,-,p,-,-,e,i,-,-
nort2747,-,p,-,-,a,N,-,-
sout2754,-,p,-,-,a,m,-,-
chua1248,-,p,a,-,u,-,-,-
larg1235,-,p,-,-,o,-,-,-
nort2749,-,p,-,-,o,-,-,-
cent1394,-,p,-,-,o,N,-,-
luop1235,n,t,-,-,u,-,-,-
luop1235,-,p,-,-,u,N,-,-
jion1236,-,p,-,-,u,N,-,-
shee1238,s,y,-,-,a,-,-,-
pahn1237,-,p,-,-,o,N,-,-
pahn1237,n,p,-,-,o,-,-,-
youn1235,s,y,-,-,e,-,-,-
east2371,-,b,-,-,a,-,-,-
west2430,-,p,-,-,o,N,-,-
kimm1245,-,f,-,-,a,n,-,-
iumi1238,-,p,-,-,o,n,-,-
biao1254,-,t,-,-,E,-,-,-
dzao1238,-,b,-,-,u,n,-,-
sich1238,-,b,-,-,E,-,-,-
