language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
jion1236,-,-,m,-,a,i,-,-,-,-,-
shee1238,-,-,k,-,-,u,-,-,-,N,-
pahn1237,-,-,m,-,-,i,-,-,-,N,-
youn1235,-,-,N,y,o,i,-,-,-,-,-
east2371,-,-,x,-,-,-,-,-,a,N,-
west2430,t,-,S,-,-,i,t,S,3,-,-
east2370,-,-,m,-,-,i,-,-,-,-,-
nort2747,-,-,m,-,-,i,-,-,-,-,-
sout2754,-,-,m,-,-,a,-,-,-,n,-
nort2749,-,-,m,-,-,e,-,-,-,-,-
cent1394,-,-,m,-,-,i,-,-,-,-,-
luop1235,-,-,m,-,-,e,-,-,-,n,-
luop1235,-,-,m,-,-,i,-,-,-,n,-
larg1235,t,-,S,-,-,i,-,-,-,t,a
kimm1245,h,a,m,-,-,-,-,-,-,-,-
iumi1238,n,o,m,-,-,-,-,-,-,-,-
biao1254,-,-,m,y,-,a,-,-,-,-,-
liuq1235,-,-,5,-,a,u,-,-,-,-,-
cent2009,-,-,m,-,-,u,-,-,-,p,-
sich1238,-,-,n,-,-,u,-,-,-,-,-
