language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
guan1279,-,-,-,t,S,h,-,i,-,-,-,-,n
yuet1238,-,-,-,t,s,h,-,u,-,-,-,-,n
chan1326,-,-,-,t,s,h,-,3,-,-,-,-,n
chen1267,-,-,-,t,s,h,-,3,-,-,-,-,n
tuol1234,-,-,-,-,-,y,-,u,-,-,-,-,-
pand1262,-,-,-,n,-,b,-,a,-,-,-,-,n
sand1270,-,-,-,n,-,b,-,a,-,-,-,-,n
liuq1235,-,-,-,-,-,b,-,a,-,-,-,-,n
liuq1235,-,-,-,-,-,b,-,a,-,-,-,-,n
dong1287,-,-,-,-,-,t,-,3,-,u,l,e,n
numa1251,-,-,-,-,-,t,-,a,n,u,7,a,-
east2370,-,-,-,-,-,Z,-,a,-,-,-,-,N
nort2747,-,-,-,-,-,x,-,a,-,-,-,-,N
sout2754,-,-,-,-,-,x,-,a,-,-,-,-,N
chua1248,-,-,-,-,-,Z,-,a,-,-,-,-,u
larg1235,-,-,-,-,-,z,-,o,-,-,-,-,-
nort2749,n,-,-,t,o,Z,-,o,-,-,-,-,-
cent1394,-,-,-,-,-,Z,-,o,-,-,-,-,N
luop1235,7,3,-,t,s,h,-,o,-,-,-,-,-
luop1235,q,o,-,t,s,h,-,o,-,-,-,-,-
jion1236,S,-,-,-,-,-,-,3,-,-,-,-,N
shee1238,y,a,N,t,-,s,-,u,-,-,-,-,N
pahn1237,7,a,-,t,-,h,-,E,-,-,-,-,-
pahn1237,l,a,-,t,-,S,-,u,-,-,-,-,N
youn1235,-,-,-,t,-,s,h,a,-,-,-,-,-
east2371,k,i,-,-,-,Z,-,a,-,-,-,-,N
west2430,q,o,-,-,-,Z,-,o,-,-,-,-,N
kimm1245,g,-,-,-,-,y,-,a,-,-,-,-,N
iumi1238,-,-,-,-,-,l,-,a,-,-,-,-,N
biao1254,-,-,-,-,-,l,-,a,-,-,-,-,N
dzao1238,-,-,-,-,-,Z,-,o,-,-,-,-,N
sich1238,-,-,-,-,-,y,-,i,-,-,-,-,-
