language,x1,x2,x3,x4,x5,x6,x7,x8
jehh1245,k,-,3,s,-,i,a,N
hala1252,k,-,3,s,-,i,a,N
reng1252,k,-,3,t,s,e,-,N
bahn1262,k,-,3,t,-,i,-,N
bahn1262,k,-,3,t,-,i,-,N
bahn1262,k,-,3,t,-,i,-,N
seda1262,k,-,3,s,-,i,a,N
roma1331,k,-,3,t,s,i,-,N
cuaa1241,k,-,-,h,l,i,3,k
alak1253,k,-,a,t,-,i,-,N
tali1257,-,-,3,t,-,i,3,N
lave1249,k,-,3,d,-,3,-,N
sapu1248,k,r,a,d,3,3,-,N
lave1248,k,-,3,t,3,3,-,N
nyah1249,g,-,-,r,3,3,-,N
chra1242,n,-,-,t,-,i,-,N
bulo1242,-,-,-,t,-,i,-,N
cent1992,-,-,-,t,-,i,-,N
cent1992,n,-,-,t,-,i,-,N
cent1992,n,-,-,t,-,i,-,N
koho1244,n,-,-,t,-,i,-,N
east2333,-,-,-,t,-,i,-,N
tamp1251,n,-,-,t,E,i,-,N
