language,x1,x2,x3,x4,x5,x6
jehh1245,-,-,r,u,a,t
hala1252,-,-,r,u,a,t
reng1252,-,-,r,o,-,t
bahn1262,-,-,r,o,-,t
bahn1262,-,-,r,o,-,t
bahn1262,-,-,r,o,-,t
seda1262,-,-,r,o,-,E
roma1331,-,-,x,o,-,t
cuaa1241,-,-,r,o,-,t
alak1253,-,-,r,o,-,t
tali1257,-,-,w,a,-,k
lave1248,-,-,r,u,a,t
nyah1249,-,-,r,u,a,t
sapu1248,n,d,r,u,a,t
lave1249,-,-,r,u,a,t
chra1242,-,v,r,-,o,-
bulo1242,-,-,r,w,a,t
cent1992,-,-,t,-,a,T
cent1992,-,-,r,w,a,t
cent1992,-,-,r,u,3,t
koho1244,-,-,r,o,a,t
east2333,-,-,r,u,o,t
tamp1251,-,-,t,-,a,T
