language,x1,x2,x3,x4,x5,x6,x7,x8
jehh1245,k,3,-,s,-,o,-,k
hala1252,s,i,k,s,-,u,-,k
reng1252,-,-,-,y,-,u,-,k
bahn1262,h,3,-,m,-,3,-,l
bahn1262,h,3,-,m,-,3,-,l
bahn1262,h,3,-,m,-,3,-,l
seda1262,-,-,-,s,-,o,-,k
roma1331,h,3,-,m,-,u,-,l
alak1253,m,-,-,m,-,u,-,k
lave1249,-,-,-,y,-,u,-,k
sapu1248,s,o,k,y,-,u,o,k
lave1248,-,-,-,h,-,m,3,l
nyah1249,-,-,-,y,-,u,o,k
chra1242,-,-,-,t,-,u,-,7
bulo1242,-,-,-,t,-,o,-,k
cent1992,b,3,-,b,-,o,-,k
cent1992,b,3,-,b,-,o,-,k
cent1992,p,-,-,y,-,u,-,t
koho1244,m,-,-,h,w,a,-,l
east2333,-,-,-,5,-,u,-,e
tamp1251,k,a,-,m,-,o,-,l
