language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
jehh1245,-,-,-,-,-,-,T,-,o,-,-,N
hala1252,k,3,g,-,a,N,T,-,o,-,-,N
reng1252,-,-,-,-,-,-,T,-,e,-,-,N
bahn1262,k,3,p,-,a,y,T,-,3,-,-,N
bahn1262,k,3,p,-,a,y,T,-,3,-,-,N
bahn1262,k,3,p,-,a,y,T,-,3,-,-,N
seda1262,-,-,-,-,-,-,T,e,3,-,-,N
cuaa1241,-,-,p,l,a,-,T,-,o,-,-,k
alak1253,-,-,-,-,-,-,T,-,3,-,-,N
tali1257,-,-,-,-,-,-,7,-,3,k,o,N
lave1248,-,-,-,-,-,-,T,-,3,-,-,N
nyah1249,-,-,-,-,-,-,T,-,i,-,-,N
sapu1248,-,-,-,-,-,-,T,-,i,-,-,N
jeng1241,-,-,-,-,-,-,T,-,i,-,-,N
lave1249,-,-,-,-,-,-,T,-,3,-,-,N
chra1242,-,-,-,-,-,-,T,-,3,-,-,N
bulo1242,-,-,-,-,-,-,T,-,3,-,-,N
cent1992,-,-,k,-,o,y,T,-,3,-,-,N
cent1992,-,-,p,-,a,N,T,-,3,-,-,N
cent1992,-,-,-,-,-,-,T,-,3,-,-,N
koho1244,-,-,-,-,-,-,T,-,3,-,-,N
east2333,-,-,p,-,a,N,T,-,o,-,-,N
tamp1251,-,-,-,-,-,-,T,-,i,-,-,N
