language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
jehh1245,-,-,-,-,k,i,a,t,-,-,-,-
hala1252,-,-,-,-,k,i,-,t,-,-,-,-
reng1252,-,-,-,-,k,i,-,t,d,r,o,k
bahn1262,-,-,-,-,k,3,-,t,-,-,-,-
bahn1262,-,-,-,-,k,i,-,t,-,-,-,-
bahn1262,-,-,-,-,k,i,-,t,-,-,-,-
seda1262,-,-,-,-,k,E,-,t,-,-,-,-
roma1331,-,-,-,-,k,o,-,t,-,-,-,-
cuaa1241,-,-,-,-,7,o,-,T,-,-,-,i
alak1253,-,-,-,-,k,i,-,t,-,-,-,-
tali1257,-,-,-,-,k,i,-,t,-,-,-,-
lave1249,-,-,-,-,k,i,-,t,-,-,-,-
sapu1248,-,-,-,-,k,i,e,t,-,-,-,-
lave1248,7,-,r,o,k,-,-,-,-,-,-,-
lave1248,7,-,-,-,k,i,e,t,-,-,-,-
nyah1249,n,d,r,o,k,-,-,-,-,-,-,-
nyah1249,-,-,-,-,k,i,e,t,-,-,-,-
chra1242,-,-,-,-,k,3,-,t,-,-,-,-
bulo1242,-,-,-,-,k,3,-,t,-,-,-,-
cent1992,-,-,-,-,k,3,-,t,-,-,-,-
cent1992,-,-,-,-,k,3,-,t,-,-,-,-
koho1244,-,-,-,-,k,i,-,t,-,-,-,-
east2333,-,-,-,-,k,3,-,t,-,-,-,-
tamp1251,-,-,-,-,k,3,-,t,-,-,-,-
