language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
mali1278,-,-,-,7,-,-,-,3,-,-,-,-,-,k,-
mali1278,-,-,-,7,-,-,-,o,-,-,-,-,-,k,-
khap1242,-,-,-,k,-,-,-,a,-,-,-,-,-,T,o
khap1242,-,-,-,k,-,-,-,a,-,-,-,-,-,T,o
bola1249,-,-,-,k,-,-,-,a,-,-,-,-,-,T,o
aheu1239,-,-,-,7,-,-,-,3,-,-,-,-,-,k,-
aheu1239,t,a,m,7,3,-,-,3,-,-,-,-,-,k,-
sach1240,-,-,-,t,o,-,-,o,-,-,-,-,-,N,-
rucc1239,p,a,-,k,3,-,-,a,-,-,-,-,-,N,-
mayy1239,-,-,-,7,a,r,-,o,-,-,-,-,-,N,-
male1282,-,-,-,k,a,T,o,o,-,-,-,-,-,h,-
male1282,-,-,-,k,a,T,o,o,-,-,-,-,-,h,-
cuoi1242,t,o,-,N,-,d,-,o,-,-,-,-,-,N,-
cuoi1242,-,-,-,N,-,-,-,u,-,-,-,-,-,k,-
thoo1240,-,-,-,N,-,-,-,3,-,-,-,-,-,k,-
viet1250,-,-,-,n,-,-,-,o,-,-,-,-,y,7,-
muon1246,-,-,-,N,-,-,-,3,-,-,-,-,-,k,-
muon1246,-,-,-,N,-,-,-,3,-,-,-,-,-,k,-
nguo1239,-,-,-,N,-,-,-,3,-,-,-,-,-,k,-
viet1252,-,-,-,N,-,-,-,3,-,-,-,-,-,k,-
arem1240,-,-,-,k,-,-,-,3,t,i,i,e,e,N,-
khmu1256,-,-,-,7,-,-,-,o,-,-,-,-,-,k,-
jeha1242,d,-,-,k,-,d,-,u,-,-,-,-,-,k,-
