language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
mali1278,a,y,-,-,-,-,o,-,-,-,m
mali1278,-,z,-,-,-,-,o,-,-,-,m
khap1242,-,z,-,-,-,o,a,-,-,-,m
aheu1239,-,7,-,-,-,-,a,h,-,i,m
aheu1239,-,7,-,-,-,-,a,h,i,i,m
aheu1239,-,7,-,-,-,-,a,h,i,i,m
sach1240,-,y,-,-,3,a,a,-,-,-,m
rucc1239,-,y,-,-,-,a,a,-,-,-,m
mayy1239,-,Z,-,-,-,a,a,-,-,-,m
toum1239,-,y,-,-,-,-,a,-,-,-,m
lyha1238,-,y,-,-,-,-,a,-,-,-,m
phon1243,-,5,-,-,-,-,a,-,-,-,m
cuoi1242,-,5,-,-,-,-,E,-,-,-,m
cuoi1242,-,5,-,-,-,-,o,-,-,-,m
thoo1240,-,5,-,-,-,-,a,-,-,-,m
thoo1240,-,5,-,-,-,-,a,-,-,-,m
muon1246,-,n,h,n,h,a,a,-,-,-,m
muon1246,-,5,-,-,-,-,a,-,-,-,m
muon1246,-,5,-,-,-,-,a,-,-,-,m
muon1246,-,5,-,-,-,-,a,-,-,-,m
nguo1239,-,5,-,-,-,-,a,-,-,-,m
viet1252,-,x,-,-,-,-,o,k,-,-,p
arem1240,a,Z,-,i,i,e,e,-,-,m,m
khmu1256,-,y,-,-,-,-,a,-,-,-,m
jeha1242,-,T,-,-,-,-,i,-,-,-,m
