language,x1,x2,x3,x4,x5,x6
mali1278,s,-,-,i,N,-
mali1278,s,-,-,i,N,-
khap1242,T,-,-,i,n,-
khap1242,T,-,-,i,N,-
bola1249,T,-,-,i,N,-
aheu1239,T,-,-,i,N,-
aheu1239,T,-,-,i,N,-
aheu1239,T,-,i,i,N,-
aheu1239,T,-,i,i,N,-
sach1240,T,-,-,i,N,-
rucc1239,T,-,-,i,N,-
mayy1239,T,-,-,i,N,-
male1282,T,-,-,i,N,-
male1282,T,-,-,i,N,-
lyha1238,T,-,-,i,5,-
cuoi1242,k,-,-,o,N,7
cuoi1242,k,-,-,a,N,-
thoo1240,k,-,-,a,N,-
viet1250,T,-,-,i,N,-
muon1246,T,h,a,a,n,-
muon1246,T,-,-,3,n,-
muon1246,T,-,-,3,n,-
muon1246,T,-,-,3,n,-
nguo1239,T,-,-,o,t,-
nguo1239,T,-,-,o,-,-
viet1252,T,-,-,3,N,-
arem1240,t,S,i,i,N,-
khmu1256,T,-,3,3,N,-
jeha1242,T,-,-,a,n,-
