language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
mali1278,k,-,3,l,-,o,-,-,N,-
mali1278,k,-,a,l,-,o,-,-,N,-
khap1242,k,-,a,l,-,o,-,-,N,-
bola1249,k,-,u,l,o,o,-,-,N,-
aheu1239,k,h,3,l,-,o,-,-,N,-
aheu1239,k,h,a,l,a,a,-,-,N,-
aheu1239,k,h,a,l,a,a,-,-,N,-
sach1240,-,-,-,l,-,o,-,-,N,-
rucc1239,k,-,-,l,-,o,-,-,N,-
mayy1239,k,-,-,l,-,o,-,-,N,-
toum1239,k,-,-,l,-,o,-,-,N,-
lyha1238,k,-,-,l,-,o,-,-,N,-
phon1243,k,-,-,l,-,o,-,-,N,-
cuoi1242,k,-,-,l,-,o,-,-,N,-
cuoi1242,t,-,-,-,-,o,-,-,N,-
thoo1240,k,-,-,l,-,o,-,-,N,-
thoo1240,t,-,-,-,-,a,w,-,N,-
muon1246,T,-,-,-,-,o,-,-,n,g
muon1246,t,-,-,-,-,o,-,-,N,-
muon1246,k,-,-,l,-,o,-,-,N,-
muon1246,k,-,-,l,-,o,-,-,N,-
nguo1239,7,-,-,l,-,o,-,-,N,-
nguo1239,t,-,-,-,-,o,-,-,N,-
viet1252,t,-,-,-,-,o,-,-,N,m
khmu1256,k,-,-,l,-,u,w,3,N,-
jeha1242,k,-,-,l,-,E,-,-,N,-
