language,x1,x2,x3,x4,x5,x6,x7,x8,x9
mali1278,p,h,-,-,-,o,-,n,-
mali1278,p,h,-,-,-,o,-,n,-
khap1242,N,k,-,-,-,o,-,N,-
khap1242,N,k,-,-,-,o,-,N,-
bola1249,-,T,i,r,-,o,-,N,-
aheu1239,m,L,-,-,-,u,-,7,-
aheu1239,-,7,a,l,-,o,-,N,-
aheu1239,p,h,-,-,-,u,-,u,-
aheu1239,p,h,-,-,-,u,-,u,-
sach1240,-,b,-,l,u,u,-,7,-
rucc1239,-,T,-,-,3,3,-,t,-
mayy1239,-,k,-,-,-,o,-,n,-
male1282,-,k,-,-,-,o,-,n,-
male1282,-,k,-,-,o,o,-,l,-
toum1239,p,h,-,l,-,o,-,w,-
lyha1238,p,h,-,l,-,3,-,y,-
lyha1238,p,h,-,l,-,o,-,w,-
phon1243,p,h,-,l,-,u,-,-,-
cuoi1242,p,h,-,S,-,o,-,w,-
cuoi1242,-,-,-,n,-,u,-,y,-
thoo1240,p,h,-,r,-,a,-,w,-
thoo1240,-,-,-,n,-,u,-,y,-
viet1250,b,-,-,r,-,u,-,7,-
muon1246,-,t,-,-,-,o,o,l,-
muon1246,-,d,-,-,-,o,-,n,-
muon1246,-,t,-,-,-,o,-,l,-
muon1246,-,t,-,-,-,o,-,3,-
nguo1239,-,r,-,-,-,u,-,-,-
nguo1239,-,l,E,n,t,a,-,-,-
viet1252,-,n,-,-,-,u,-,i,-
arem1240,-,d,-,-,-,u,-,h,u
khmu1256,m,-,-,-,-,o,-,k,-
jeha1242,-,T,-,l,m,o,-,l,-
