language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
mali1278,-,-,-,-,t,-,3,-,v,-,e,-
khap1242,-,-,-,-,t,-,a,-,N,-,o,p
khap1242,-,-,-,-,t,-,a,-,N,-,o,p
bola1249,-,-,-,-,t,-,3,-,N,o,o,p
aheu1239,-,-,-,-,7,-,a,-,y,-,u,l
aheu1239,-,-,-,-,7,-,a,-,m,-,a,h
aheu1239,-,-,-,-,7,-,a,-,m,a,a,h
aheu1239,-,-,-,-,7,-,a,-,m,a,a,h
sach1240,-,-,-,-,l,-,u,-,-,-,u,m
rucc1239,-,-,-,-,l,-,3,-,-,-,3,m
mayy1239,-,-,-,-,l,-,-,-,-,-,u,m
male1282,-,-,-,-,t,-,3,-,N,-,o,p
male1282,-,-,-,-,t,-,u,-,5,o,o,p
toum1239,-,-,-,-,t,a,e,-,m,-,-,-
lyha1238,-,-,-,-,t,E,e,-,m,-,-,-
lyha1238,-,-,-,-,t,-,E,-,m,-,-,-
phon1243,-,-,-,-,t,-,e,-,m,-,-,-
cuoi1242,-,-,-,-,t,-,e,-,m,-,-,-
cuoi1242,-,-,-,-,t,-,e,-,m,-,-,-
thoo1240,-,-,-,-,t,-,e,-,m,-,-,-
thoo1240,-,-,-,-,t,-,e,-,m,-,-,-
viet1250,-,-,-,-,t,-,e,-,m,-,-,-
muon1246,-,-,-,-,t,e,e,-,m,-,-,-
nguo1239,-,-,-,-,7,-,e,-,m,-,-,-
nguo1239,-,-,-,-,t,-,e,-,m,-,-,-
viet1252,-,-,-,-,d,-,e,-,m,-,-,-
arem1240,-,-,-,-,l,-,u,m,m,-,-,-
khmu1256,p,-,-,-,s,3,3,-,m,-,-,-
jeha1242,h,r,k,3,t,-,-,-,-,-,-,-
