language,x1,x2,x3,x4,x5,x6,x7,x8
mali1278,-,-,b,-,-,o,y,-
mali1278,-,-,b,-,-,o,y,-
khap1242,-,-,b,-,-,o,y,-
aheu1239,-,-,b,-,-,o,y,7
aheu1239,-,-,b,-,-,o,y,-
aheu1239,-,-,b,o,-,o,y,-
aheu1239,-,-,b,o,-,o,y,-
sach1240,-,-,b,-,-,o,y,-
rucc1239,-,-,b,o,-,o,y,-
mayy1239,-,-,b,-,-,o,i,-
toum1239,-,-,b,-,-,o,y,-
lyha1238,-,-,b,-,-,o,y,-
phon1243,-,-,b,-,-,o,y,-
cuoi1242,-,-,b,-,-,E,y,-
cuoi1242,-,-,b,-,-,o,y,-
thoo1240,-,-,b,-,-,o,y,-
thoo1240,-,-,b,-,-,o,y,-
muon1246,-,-,b,o,-,o,i,-
muon1246,-,-,v,-,-,o,y,-
muon1246,-,-,b,-,-,o,y,-
muon1246,-,-,v,-,-,o,y,-
nguo1239,-,-,v,-,-,o,y,-
nguo1239,-,-,v,-,-,o,y,-
viet1252,-,-,m,-,-,u,i,-
arem1240,-,-,b,o,i,o,i,-
khmu1256,-,-,h,-,m,a,r,-
jeha1242,7,m,p,-,-,o,T,-
