language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
jion1236,t,y,a,-,-,-,-,-,N,-,-,-
jion1236,t,y,o,-,-,-,-,-,N,-,-,-
shee1238,f,-,u,-,-,-,-,-,-,-,-,-
shee1238,f,-,o,-,-,-,-,-,-,-,-,-
youn1235,h,-,a,-,-,-,-,-,u,-,-,-
youn1235,h,-,a,-,-,-,-,-,u,-,-,-
east2369,t,-,e,-,-,-,-,-,n,-,e,n
nort2748,k,y,a,-,-,-,-,t,u,-,-,-
east2371,Z,-,i,-,-,-,-,d,u,-,-,-
pahn1237,q,-,a,-,-,-,-,t,o,-,-,-
pahn1237,q,-,a,-,-,-,-,t,o,-,-,N
wuna1248,h,-,-,-,-,-,-,-,o,-,-,-
nort3244,h,-,-,-,-,-,-,-,u,-,a,-
hmon1264,f,-,-,-,-,-,-,-,w,-,a,-
hmon1333,h,-,-,-,-,-,-,-,w,-,3,-
larg1235,h,-,a,-,-,-,-,-,u,p,o,-
buna1273,t,-,e,i,o,N,N,k,o,-,-,-
buna1273,k,-,a,-,-,-,-,h,u,-,-,-
numa1251,-,-,o,-,-,-,-,-,u,-,-,-
