language,x1,x2,x3,x4,x5,x6,x7,x8,x9
jion1236,-,-,-,t,-,o,-,-,-
jion1236,-,-,-,t,a,u,-,-,-
shee1238,-,-,-,t,h,o,-,-,-
shee1238,-,-,-,t,h,o,-,-,-
youn1235,-,-,-,t,-,o,-,u,-
youn1235,-,-,-,t,-,o,-,-,-
east2369,-,-,-,t,-,u,-,-,-
pana1310,-,-,-,t,-,o,-,-,-
nort2748,-,p,i,t,-,o,-,-,-
east2371,-,-,-,L,-,o,d,a,-
pahn1237,-,-,a,t,h,o,-,-,-
pahn1237,-,q,a,t,-,o,-,u,-
wuna1248,-,-,-,t,-,o,-,u,-
nort3244,-,-,-,d,-,e,-,u,-
hmon1264,-,-,-,t,-,a,-,3,-
hmon1333,l,w,3,t,-,3,-,w,-
larg1235,-,-,-,t,-,o,-,e,y
buna1273,-,-,-,t,i,u,-,-,-
buna1273,-,-,-,t,-,o,-,-,-
numa1251,-,-,-,t,-,o,-,-,-
