language,x1,x2,x3,x4,x5,x6,x7,x8,x9
jion1236,-,-,-,n,t,8,-,a,-
jion1236,-,-,-,n,t,S,-,a,-
shee1238,-,-,-,-,t,s,-,a,-
shee1238,-,-,-,-,t,s,-,a,-
youn1235,-,-,-,-,-,Z,-,a,u
youn1235,-,-,-,-,-,Z,-,a,u
east2369,-,-,-,-,-,S,-,i,-
pana1310,-,-,-,-,d,Z,-,a,-
nort2748,-,-,-,5,t,S,-,u,-
east2371,-,-,-,-,d,z,-,v,-
pahn1237,-,-,-,5,t,S,-,o,-
pahn1237,-,-,-,5,-,-,-,o,-
wuna1248,-,-,-,5,t,S,-,o,-
nort3244,n,e,n,n,t,S,-,e,-
hmon1264,-,-,-,5,d,Z,-,e,-
hmon1333,-,-,-,n,d,Z,-,e,-
larg1235,-,-,-,n,t,S,-,3,-
buna1273,-,-,-,n,t,s,-,e,y
buna1273,-,-,-,n,t,s,-,e,-
numa1251,-,-,-,n,t,s,y,e,y
