language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
huar1255,-,-,o,h,t,s,o,o,r,e,-,-,w,a,e,-,-,-,-,m,-,-,-,e,-,-
cent2131,b,-,o,-,t,S,-,-,-,i,-,-,w,-,-,-,-,-,-,-,-,-,-,i,-,-
mayo1264,-,-,-,-,t,-,-,-,-,a,-,a,p,-,u,-,-,-,-,n,-,-,-,i,-,-
yaqu1251,-,-,-,-,t,-,-,-,-,a,-,a,p,-,u,-,-,-,-,n,-,-,-,a,-,-
elna1235,-,-,a,-,v,-,-,-,-,a,-,a,7,-,3,s,-,-,-,t,-,-,-,i,-,-
toho1245,-,-,-,-,s,k,-,-,-,o,-,-,w,-,o,-,-,g,-,-,-,-,-,-,-,-
pima1248,-,-,-,-,-,k,-,-,-,o,-,-,v,-,o,-,-,g,-,-,-,-,-,-,-,-
sout2976,-,-,-,-,s,-,-,-,-,u,-,-,n,-,-,-,-,g,3,m,-,-,-,-,-,-
nort2959,-,-,-,-,s,-,-,-,-,u,-,-,d,-,a,y,d,Z,a,m,-,-,u,e,-,-
tete1251,-,-,-,-,t,-,-,-,-,i,-,-,-,-,e,-,-,-,-,n,-,-,t,i,k,a
high1278,-,-,-,-,p,-,-,-,-,-,-,-,-,-,e,S,-,-,o,n,-,-,t,o,k,-
pipi1250,-,-,-,-,t,-,-,-,-,-,-,-,-,-,e,-,-,-,-,n,-,-,t,u,k,-
mono1275,-,-,-,-,t,-,-,-,-,u,-,-,-,-,i,-,-,-,-,y,u,h,-,a,-,-
nort2954,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-,-,-,-,-,n,-,-,-,o,-,-
nort2954,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-,-,-,-,-,n,-,-,-,o,-,-
pana1305,-,-,-,-,t,-,-,-,-,3,-,-,p,-,e,-,-,-,-,k,3,-,-,a,-,-
coma1245,-,-,-,-,t,-,-,-,-,3,-,-,p,-,e,-,-,-,-,t,-,-,-,3,-,-
kawa1283,-,-,-,-,t,-,-,-,-,3,-,-,b,-,e,-,-,-,-,t,-,-,-,3,-,-
kawa1283,-,-,-,-,-,-,-,-,-,-,-,-,p,-,o,n,-,-,o,7,-,-,-,i,-,-
hopi1249,-,-,-,-,-,-,-,-,-,o,o,o,p,-,o,-,-,-,-,k,i,w,t,a,-,-
tuba1278,-,-,-,-,-,-,-,-,-,3,-,m,b,-,-,-,-,-,-,-,-,-,-,3,m,-
cahu1264,m,a,a,-,t,S,-,-,-,a,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-
