language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
huar1255,-,-,-,-,-,-,t,e,h,p,e,k,u,-,u,m,-,-,-,-,-,-,a,-
cent2131,-,-,-,-,-,-,-,-,-,w,i,l,i,-,-,-,-,-,-,-,-,-,i,-
mayo1264,-,-,-,-,-,-,t,e,-,-,e,-,-,-,e,b,-,-,-,-,-,-,e,-
yaqu1251,-,-,-,-,-,-,t,e,-,-,e,-,-,-,e,b,-,-,-,-,-,-,e,-
elna1235,-,-,-,-,-,-,t,-,-,-,-,-,-,-,i,y,-,-,-,-,-,-,e,-
huic1243,-,-,-,-,-,-,t,-,-,-,-,-,-,-,e,w,-,-,-,-,-,-,i,-
toho1245,-,-,-,-,-,-,t,-,-,-,S,-,-,-,3,w,-,-,-,-,-,-,-,-
pima1248,-,-,-,-,-,-,t,-,-,-,-,-,-,-,3,v,3,d,-,-,-,-,-,-
sout2976,-,-,-,-,-,-,t,-,-,-,e,-,-,-,3,b,-,-,-,-,-,-,-,-
nort2959,-,-,-,-,-,-,t,-,-,-,s,-,-,-,a,v,i,d,i,y,d,Z,a,-
nort2959,-,-,-,-,-,-,t,-,-,-,-,-,-,-,u,b,u,d,-,-,-,-,u,-
tete1251,-,-,-,-,-,-,b,-,-,-,e,-,-,-,i,y,-,-,-,-,-,-,a,k
high1278,-,-,-,-,-,-,w,e,-,e,e,-,-,-,i,y,-,-,-,-,-,-,a,k
pipi1250,-,-,-,-,-,-,w,-,-,-,e,-,-,-,i,y,-,-,-,-,-,-,a,k
mono1275,-,-,-,-,-,3,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-
nort2954,-,-,-,-,-,u,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-
nort2954,-,-,-,-,-,u,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-
pana1305,k,3,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-
coma1245,-,-,p,-,-,a,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-
kawa1283,-,-,p,a,7,a,t,o,-,g,-,-,-,-,o,r,-,-,-,-,-,-,a,-
hopi1249,-,-,w,i,-,3,-,-,-,-,-,-,-,-,3,p,-,-,-,-,-,-,a,-
tuba1278,-,-,-,-,-,u,t,u,-,-,-,-,-,-,-,d,-,-,-,-,-,-,u,-
cahu1264,-,-,w,a,-,a,v,-,-,-,-,-,-,-,u,m,-,-,-,-,-,-,a,-
kiow1266,-,-,-,-,-,-,k,-,-,-,i,-,o,o,i,-,-,-,-,-,-,-,y,-
kiow1266,-,-,-,-,-,-,k,-,-,-,i,n,i,-,i,-,-,-,-,-,-,-,i,-
