language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
huar1255,-,-,-,-,s,e,-,-,-,t,e,-,-,e,-,-
cent2131,-,-,-,-,s,a,-,-,-,t,e,-,-,e,-,-
mayo1264,-,-,-,-,s,e,-,-,-,-,e,e,7,e,-,-
yaqu1251,-,-,-,-,s,e,-,-,-,-,e,e,7,e,-,-
elna1235,-,-,-,-,s,e,-,-,-,-,-,-,h,e,-,-
huic1243,-,-,-,-,z,i,-,-,u,k,a,a,r,i,-,-
huic1243,-,-,-,-,z,i,-,-,a,k,a,a,r,i,-,-
toho1245,-,o,-,-,7,-,-,-,-,-,-,-,-,o,d,d
pima1248,-,-,-,-,h,i,-,-,-,-,-,-,-,a,-,-
sout2976,-,o,-,-,-,i,-,-,-,-,-,i,y,a,-,-
nort2959,-,o,-,-,-,-,-,-,-,-,-,-,-,e,-,-
nort2959,-,o,-,-,r,-,-,-,-,-,-,-,-,e,-,-
tete1251,-,-,-,-,S,o,-,-,-,-,-,e,l,i,-,-
high1278,-,-,-,-,S,a,-,-,-,-,-,-,l,-,-,-
pipi1250,-,a,-,-,S,a,-,-,-,-,-,-,l,-,-,-
mono1275,p,a,-,-,s,i,-,-,-,w,a,-,-,-,-,-
nort2954,p,a,-,-,s,i,-,-,-,w,a,-,p,3,-,-
pana1305,p,a,-,-,s,i,-,-,N,w,a,m,p,3,-,h
pana1305,k,u,-,t,s,-,-,-,-,-,a,-,p,3,-,h
coma1245,p,a,-,-,s,i,-,-,-,w,a,-,p,i,-,-
kawa1283,-,-,-,-,S,i,-,-,h,w,a,-,b,3,-,-
hopi1249,-,-,-,-,t,i,i,3,i,w,a,-,-,-,-,-
tuba1278,-,-,-,-,S,i,-,-,-,h,-,-,p,i,-,t
cahu1264,N,a,a,t,S,i,-,-,-,S,-,-,-,-,-,-
kiow1266,-,-,-,-,p,e,-,-,-,-,e,e,-,e,-,-
