language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
huar1255,-,-,-,-,-,i,y,o,l,-,a,a,m,-,-,e,-,-
cent2131,t,S,-,-,-,u,-,u,t,-,a,-,-,-,-,-,-,-
mayo1264,-,b,w,a,w,i,-,i,t,-,-,-,-,-,-,e,-,-
yaqu1251,-,b,w,a,w,-,-,i,-,-,-,-,-,-,-,i,-,-
yaqu1251,-,b,w,a,w,-,-,3,t,-,-,-,-,-,-,e,-,-
elna1235,-,-,-,a,n,-,-,-,t,-,a,a,m,3,m,3,-,-
toho1245,-,m,-,-,-,u,-,u,k,-,-,-,-,-,-,-,-,-
pima1248,-,m,-,-,-,u,-,-,t,s,a,-,d,-,-,a,-,-
sout2976,-,m,-,-,-,u,-,u,k,-,-,-,-,-,-,-,-,-
nort2959,-,m,-,-,-,u,-,-,t,s,a,-,g,-,-,o,-,-
tete1251,-,-,-,-,-,-,-,-,t,l,a,-,t,-,-,e,k,i
high1278,-,-,-,-,-,-,-,-,t,-,e,-,n,-,-,e,h,-
pipi1250,-,-,-,-,-,-,-,-,t,-,e,-,n,-,-,i,-,-
mono1275,-,-,-,-,-,-,-,-,k,-,3,-,w,-,-,a,-,-
nort2954,-,-,-,-,-,-,-,-,k,-,3,-,m,-,-,a,-,-
pana1305,-,-,-,-,-,-,-,-,k,-,3,-,m,-,-,a,-,-
coma1245,-,-,-,-,-,-,-,-,k,-,3,-,m,-,-,a,-,-
kawa1283,-,-,-,-,-,-,-,-,k,-,u,-,w,-,-,a,-,-
hopi1249,-,-,-,-,-,-,-,-,q,-,a,-,l,-,-,a,-,-
cahu1264,-,-,-,-,-,-,-,-,t,a,a,-,m,-,-,a,-,-
kiow1266,-,p,-,a,-,-,-,-,-,-,a,-,-,-,-,a,-,-
