language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
huar1255,-,-,a,-,-,m,-,e,-,-,-,-,e,-,-,r,-,-,-,-,i,m,-,a
huar1255,-,-,e,-,-,m,-,e,-,-,-,-,e,-,-,r,-,-,-,-,u,m,-,a
cent2131,k,-,u,-,-,t,-,e,-,-,-,-,e,-,-,l,-,-,-,-,i,-,-,-
mayo1264,-,-,-,-,-,p,o,o,-,-,-,-,o,-,-,t,S,-,-,-,i,-,-,-
yaqu1251,-,-,-,-,-,p,-,o,-,-,-,-,o,-,-,t,S,i,l,a,i,-,-,-
elna1235,t,s,a,-,-,p,w,a,-,-,-,-,a,-,-,t,-,-,-,-,u,n,-,-
toho1245,s,S,o,-,-,p,-,-,-,-,-,-,o,-,-,l,-,-,-,-,-,k,-,-
pima1248,d,-,u,-,-,m,-,-,-,-,-,-,a,-,-,r,-,-,-,-,i,t,s,a
sout2976,d,-,u,-,-,m,-,-,-,-,-,-,a,-,-,l,-,-,-,-,-,h,l,-
nort2959,k,-,a,-,-,v,-,u,-,-,-,-,u,-,-,l,-,-,-,-,i,k,-,a
tete1251,t,s,i,-,-,t,s,i,k,-,-,-,i,-,-,t,s,-,-,-,i,-,-,-
high1278,t,s,-,-,-,-,-,i,k,-,-,-,-,-,-,t,s,-,-,-,i,n,-,-
pipi1250,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,t,-,-,-,-,u,-,-,-
mono1275,t,-,o,-,-,p,-,o,t,s,-,-,i,-,-,t,s,i,n,-,i,-,-,-
nort2954,-,-,-,-,-,m,-,-,-,-,-,-,i,-,-,t,s,-,-,-,i,-,-,-
pana1305,t,-,o,-,-,p,-,o,t,s,-,-,i,-,-,t,-,-,-,-,3,-,-,-
coma1245,-,-,-,-,-,p,-,a,7,-,-,-,i,t,3,t,s,-,-,-,i,-,-,-
kawa1283,t,-,o,v,e,p,-,-,-,-,-,-,i,-,-,t,S,-,-,-,3,-,-,-
hopi1249,-,-,-,-,-,-,-,-,t,s,a,a,a,-,-,v,-,-,-,-,a,-,-,-
tuba1278,t,-,a,-,-,b,-,u,7,-,-,-,u,-,-,p,-,-,-,-,i,l,-,-
cahu1264,-,-,-,-,-,m,-,u,-,-,-,-,u,-,-,t,-,-,-,-,i,-,-,-
kiow1266,t,s,e,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,e,-,-,-
