language,x1,x2,x3,x4,x5,x6
tuam1242,m,a,t,e,-,-
tuam1242,p,o,h,e,-,-
penr1237,m,a,t,e,-,-
raro1241,m,a,t,e,-,-
raro1241,p,o,7,e,-,-
mang1401,m,a,t,e,-,-
maor1246,m,a,t,e,-,-
raka1237,m,a,t,e,-,-
raka1237,h,i,t,i,-,-
puka1242,m,a,t,e,-,-
rapa1244,m,a,t,e,-,-
nort2845,m,a,t,e,-,-
nort2845,-,-,k,e,7,o
hawa1245,m,a,k,e,-,-
tahi1242,p,o,h,e,-,-
emae1237,m,a,t,e,-,-
futu1245,m,a,t,e,-,-
wall1257,m,a,t,e,-,-
east2447,m,a,t,e,-,-
tiko1237,m,a,t,e,-,-
niue1239,m,a,t,e,-,-
anut1237,m,a,t,e,-,-
samo1305,m,a,t,e,-,-
tuva1244,m,a,t,e,-,-
tong1325,m,a,t,e,-,-
renn1242,m,a,t,e,-,-
onto1237,m,a,k,e,-,-
sika1261,m,a,t,e,-,-
nuku1259,m,a,t,e,-,-
pile1238,m,a,t,e,-,-
kapi1249,m,a,d,e,-,-
mele1250,m,a,t,e,-,-
