language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
tuam1242,N,-,-,a,-,-,-,-,-,-,u,-,-
penr1237,N,-,-,a,-,-,-,-,-,-,u,-,-
raro1241,7,i,-,a,-,-,-,-,-,-,-,-,-
mang1401,7,a,m,a,-,m,-,-,-,-,a,-,-
maor1246,k,-,-,a,-,t,i,k,a,t,i,-,-
raka1237,N,-,-,a,u,N,-,-,a,-,u,-,-
puka1242,N,-,-,a,u,N,-,-,a,-,u,-,-
rapa1244,m,-,-,a,-,m,-,-,-,-,a,-,-
hawa1245,m,-,-,a,-,m,-,-,-,-,a,-,-
tahi1242,7,-,-,a,u,7,-,-,a,-,u,-,-
futu1245,m,-,-,a,-,i,-,-,-,-,a,-,-
futu1245,m,-,-,a,-,m,-,-,-,-,a,-,-
wall1257,l,-,-,a,-,m,-,-,-,-,u,-,-
wall1257,m,-,-,a,-,m,-,-,-,-,a,-,-
east2447,N,-,-,a,-,-,-,-,-,-,u,-,-
tiko1237,N,-,-,a,-,-,-,-,-,-,u,-,-
niue1239,g,-,-,a,-,-,-,-,-,-,u,-,-
anut1237,k,-,-,a,-,m,-,-,-,-,u,-,-
samo1305,m,-,-,a,-,m,-,-,-,-,a,-,-
samo1305,l,-,-,a,-,m,-,-,-,-,u,-,-
tuva1244,l,-,-,a,-,m,-,-,-,-,u,-,-
tuva1244,m,-,-,a,-,m,-,-,-,-,a,-,-
tuva1244,g,-,-,a,-,-,-,-,-,-,u,-,-
tuva1244,g,-,-,u,-,g,-,-,-,-,u,-,-
tong1325,l,-,-,a,-,m,-,-,-,-,u,-,-
tong1325,m,-,-,a,-,m,-,-,-,-,a,-,-
renn1242,N,-,-,a,-,-,-,-,-,-,u,-,-
onto1237,N,-,-,a,-,m,u,N,-,-,a,m,u
sika1261,m,-,-,a,-,m,-,-,-,-,a,-,-
nuku1259,n,-,-,a,-,-,-,-,-,-,u,-,-
nuku1259,m,-,-,a,-,m,-,-,-,-,a,-,-
pile1238,m,-,-,a,-,i,-,-,-,-,a,-,-
pile1238,k,-,-,a,-,m,-,-,-,-,u,-,-
kapi1249,N,-,-,a,-,-,-,-,-,-,u,-,-
kapi1249,N,-,-,u,-,N,-,-,-,-,u,-,-
