language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
tuam1242,-,-,-,-,k,-,a,k,-,-,e,-,-,-,-,-,-
penr1237,-,-,-,-,k,-,a,k,-,-,e,-,-,-,-,-,-
raro1241,-,-,-,-,k,-,a,k,-,-,e,a,7,i,a,n,a
mang1401,p,-,-,i,k,-,-,-,-,-,i,-,-,-,-,-,-
maor1246,p,-,-,i,k,-,-,-,-,-,i,-,-,-,-,-,-
raka1237,p,-,-,i,k,-,-,-,-,-,i,-,-,-,-,-,-
puka1242,-,-,-,-,k,-,a,k,-,-,e,-,-,-,-,-,-
puka1242,w,i,w,i,t,-,i,k,-,-,i,-,l,-,u,N,a
rapa1244,-,-,-,-,-,-,e,k,-,-,e,-,-,-,-,-,-
nort2845,-,-,-,-,h,-,i,t,-,-,i,-,-,-,-,-,-
hawa1245,p,-,-,i,7,-,-,-,-,-,i,-,-,-,-,-,-
tahi1242,-,-,-,-,t,-,a,7,u,m,a,-,-,-,-,-,-
futu1245,-,-,-,-,k,h,a,v,-,-,a,-,-,-,-,-,-
futu1245,-,-,-,-,f,-,i,S,-,-,i,-,-,-,-,-,-
wall1257,-,-,-,-,k,-,a,k,-,-,e,-,-,-,-,-,-
east2447,-,-,-,-,k,-,a,k,-,-,e,-,-,-,-,-,-
tiko1237,-,-,-,-,k,-,a,k,-,-,e,-,-,-,-,-,-
anut1237,-,-,-,-,k,-,a,k,-,-,e,-,-,-,-,-,-
samo1305,-,-,-,-,-,-,a,7,-,-,e,-,-,-,-,-,-
samo1305,-,-,-,-,p,-,i,7,-,-,i,-,-,-,-,-,-
tuva1244,-,-,-,-,k,-,a,k,-,-,e,-,-,-,-,-,-
tong1325,-,-,-,-,k,-,a,k,-,-,a,-,-,-,-,-,-
renn1242,-,-,-,-,k,-,a,k,-,-,e,-,-,-,-,-,-
onto1237,-,-,-,-,7,-,a,7,-,-,e,-,-,-,-,-,-
sika1261,-,-,-,-,k,-,a,k,-,-,e,-,-,-,-,-,-
nuku1259,-,-,-,-,k,-,a,k,-,-,e,-,-,-,-,-,-
pile1238,-,-,-,-,k,-,a,k,-,-,e,-,-,-,-,-,-
kapi1249,-,-,-,-,h,-,i,t,-,-,i,-,-,-,-,-,-
