language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
futu1245,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,i,S,i
poly1242,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,i,t,i
poly1242,-,-,-,-,m,o,-,-,h,e,-,m,-,-,-,-,i,t,i
tong1325,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,i,s,i
wall1257,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,i,s,i
east2447,-,-,-,-,m,o,-,-,-,e,-,m,-,-,-,-,i,t,i
tiko1237,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,i,t,i
niue1239,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,i,t,i
samo1305,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,i,t,i
tuva1244,-,-,-,-,m,o,-,-,-,e,-,m,-,-,-,-,i,t,i
anut1237,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,i,t,i
renn1242,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,i,t,i
onto1237,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,i,k,i
nuku1259,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,o,-,e
pile1238,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,i,h,i
kapi1249,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,i,d,i
tuam1242,-,-,-,-,m,o,-,-,-,e,-,m,o,-,-,-,e,-,a
penr1237,-,-,-,-,m,o,-,-,-,e,-,m,o,-,-,-,e,-,a
raro1241,-,-,-,-,m,o,-,-,-,e,-,m,o,-,-,-,e,-,a
mang1401,-,-,-,-,m,o,-,-,-,e,-,m,o,-,-,-,e,-,a
maor1246,-,-,-,-,m,o,-,-,-,e,-,m,o,-,-,-,e,-,a
raka1237,r,i,k,a,m,o,-,-,-,e,-,-,-,-,-,-,-,-,-
raka1237,-,-,-,-,m,o,-,-,-,e,-,m,o,-,-,-,e,-,a
puka1242,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,i,t,i
puka1242,-,-,-,-,m,o,-,-,-,e,-,m,-,-,-,-,i,t,i
rapa1244,-,-,-,-,m,o,-,-,-,e,-,-,-,-,-,-,-,-,-
nort2845,-,-,-,-,m,o,-,-,-,e,-,m,o,-,-,-,e,-,a
hawa1245,-,-,-,-,m,o,-,-,-,e,-,7,u,h,a,n,e,-,-
hawa1245,-,-,-,-,m,o,-,-,-,e,-,m,o,-,-,-,e,-,a
tahi1242,-,-,-,-,m,o,-,-,-,e,-,m,o,-,-,-,e,-,a
tahi1242,-,-,t,a,7,o,-,-,t,o,-,7,o,t,-,-,o,-,a
ruru1237,-,-,-,-,m,o,-,-,-,e,-,m,o,-,-,-,e,-,a
ruru1237,-,-,-,-,7,a,7,a,7,e,i,m,o,-,-,-,e,-,-
raiv1237,-,-,-,-,m,o,-,-,-,e,-,m,o,-,-,-,e,-,a
