language,x1,x2,x3,x4,x5,x6,x7
emae1237,b,i,n,u,-,-,-
futu1245,-,i,n,u,-,-,-
poly1242,-,i,n,u,-,-,-
tong1325,-,i,n,u,-,-,-
wall1257,-,i,n,u,-,-,-
east2447,-,i,n,u,-,-,-
tiko1237,-,i,n,u,-,-,-
niue1239,-,i,n,u,-,-,-
samo1305,-,i,n,u,-,-,-
tuva1244,-,i,n,u,-,-,-
anut1237,-,i,n,u,-,-,-
renn1242,m,i,-,a,-,-,-
onto1237,-,u,N,u,-,-,-
sika1261,-,u,n,u,-,-,-
nuku1259,-,i,n,u,-,-,-
pile1238,-,i,n,u,m,i,a
kapi1249,-,i,n,u,-,-,-
tuam1242,-,i,n,u,-,-,-
penr1237,-,i,n,u,-,-,-
raro1241,-,i,n,u,-,-,-
mang1401,-,i,n,u,-,-,-
maor1246,-,i,n,u,-,-,-
raka1237,-,i,n,u,-,-,-
puka1242,-,i,n,u,-,-,-
rapa1244,-,u,n,u,-,-,-
nort2845,-,i,n,u,-,-,-
hawa1245,-,i,n,u,-,-,-
tahi1242,-,i,n,u,-,-,-
ruru1237,-,u,n,u,-,-,-
raiv1237,-,i,n,u,-,-,-
mele1250,-,u,n,u,-,-,-
