language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
emae1237,-,-,-,i,-,b,u,a,-,-,-,-,-
futu1245,-,-,-,p,-,h,-,a,-,-,-,i,-
poly1242,-,-,-,m,a,m,-,a,-,-,7,o,-
tong1325,-,-,-,m,a,m,-,a,-,-,7,o,-
wall1257,-,-,-,m,a,m,-,a,-,-,7,o,-
wall1257,t,a,u,m,a,m,-,a,-,-,7,o,-
east2447,-,-,-,m,a,m,-,a,-,-,7,o,-
east2447,t,a,u,m,a,m,-,a,-,-,7,o,-
tiko1237,-,-,-,m,a,-,-,-,-,-,-,o,-
niue1239,-,-,-,m,a,m,-,a,-,-,-,o,-
samo1305,-,-,-,m,a,m,-,a,-,-,-,o,-
tuva1244,-,-,-,m,a,m,-,a,-,-,-,o,-
anut1237,-,-,-,m,a,m,-,a,-,-,-,o,-
renn1242,-,-,-,m,a,m,-,a,-,-,7,o,-
onto1237,-,-,-,m,-,-,-,a,-,-,-,o,-
sika1261,-,-,-,m,-,m,-,a,-,-,-,o,-
nuku1259,-,-,-,m,-,m,-,a,-,-,-,o,-
pile1238,-,-,-,m,a,-,-,-,-,-,-,o,-
kapi1249,-,-,-,m,-,-,-,o,-,-,k,o,a
tuam1242,t,a,u,m,a,m,-,a,-,-,-,o,-
penr1237,-,-,-,m,o,m,-,-,-,-,-,o,-
raro1241,-,-,-,m,a,m,-,a,-,-,-,o,-
mang1401,-,-,-,m,a,m,-,a,-,-,7,o,-
maor1246,-,-,-,t,a,f,-,i,-,-,t,i,-
raka1237,-,-,-,h,a,k,-,a,r,e,r,e,-
raka1237,-,-,-,m,o,m,-,-,-,-,-,o,-
puka1242,-,-,-,m,a,m,-,a,-,-,-,o,-
rapa1244,k,-,u,m,i,-,-,-,-,-,-,-,-
nort2845,-,-,-,m,e,m,-,a,-,-,7,o,-
hawa1245,-,-,-,m,a,m,-,a,-,-,-,o,-
tahi1242,-,-,-,-,a,t,-,e,-,-,-,a,-
ruru1237,-,-,-,-,a,t,-,e,-,-,-,a,-
mele1250,-,-,-,-,i,m,-,a,-,-,-,o,-
