language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
tuam1242,-,-,-,-,m,a,-,-,t,-,a,k,u
penr1237,-,-,-,-,m,a,-,-,t,-,a,k,u
raro1241,-,-,-,-,m,a,-,-,t,-,a,k,u
raro1241,-,-,-,-,-,-,-,-,-,-,i,7,i
mang1401,-,-,-,-,m,a,-,-,t,-,a,k,u
maor1246,-,-,-,-,m,a,-,-,t,-,a,k,u
raka1237,-,-,-,-,m,a,t,a,t,-,a,k,u
puka1242,-,-,-,-,m,a,t,a,t,-,a,k,u
rapa1244,r,-,-,-,i,a,-,-,r,i,a,-,-
rapa1244,-,-,-,-,m,a,-,-,t,-,a,k,u
nort2845,h,a,7,a,m,e,-,-,t,-,a,7,u
hawa1245,-,-,-,-,m,a,-,-,k,-,a,7,u
tahi1242,r,i,-,-,7,a,r,i,7,-,a,-,-
emae1237,-,-,-,-,m,a,-,-,t,-,a,k,u
futu1245,-,-,-,-,m,a,-,-,t,-,a,k,u
wall1257,-,-,-,-,m,a,-,-,t,-,a,k,u
east2447,-,-,-,-,m,a,-,-,t,-,a,k,u
east2447,-,-,-,-,-,-,-,-,7,-,i,-,i
tiko1237,-,-,-,-,m,a,-,-,t,-,a,k,u
niue1239,-,-,-,-,m,a,-,-,t,-,a,k,u
anut1237,-,-,-,-,m,a,-,-,t,-,a,k,u
samo1305,-,-,-,-,m,a,-,-,t,-,a,7,u
samo1305,-,-,-,-,-,-,-,-,f,-,e,f,e
tuva1244,-,-,-,-,m,a,-,-,t,-,a,k,u
tong1325,-,-,-,-,m,a,n,a,v,-,a,h,e
renn1242,-,-,-,-,m,a,-,-,t,-,a,k,u
onto1237,-,-,-,-,m,a,-,-,k,-,a,7,u
sika1261,-,-,-,-,m,a,-,-,t,-,a,k,u
nuku1259,-,-,-,-,m,a,-,-,t,-,a,k,u
pile1238,-,-,-,-,m,a,-,-,t,h,a,k,u
kapi1249,-,-,-,-,m,a,-,-,d,-,a,g,u
mele1250,-,-,-,-,m,a,-,-,t,-,a,k,u
