language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
emae1237,f,-,-,a,n,o,N,-,-,o,-,-
futu1245,-,-,-,-,r,a,N,-,-,o,n,a
poly1242,-,-,-,-,r,o,N,-,-,o,-,-
tong1325,f,-,-,e,n,o,N,-,-,o,-,-
wall1257,-,-,-,-,l,o,N,-,-,o,-,-
east2447,-,-,-,-,l,o,N,-,-,o,-,-
tiko1237,-,-,-,-,r,o,g,-,-,o,-,-
niue1239,f,-,-,a,n,o,N,-,-,o,-,-
samo1305,f,a,7,a,l,o,N,-,-,o,-,-
tuva1244,-,-,-,-,l,o,g,-,-,o,-,-
anut1237,-,-,-,-,r,o,N,-,-,o,-,-
renn1242,n,-,-,-,g,o,N,-,-,o,-,-
onto1237,-,-,-,-,l,o,N,-,-,o,-,-
sika1261,-,-,-,-,l,o,n,-,-,o,-,-
nuku1259,-,-,-,-,r,o,n,-,-,o,-,-
pile1238,-,-,-,-,l,o,N,-,-,o,-,-
kapi1249,-,-,-,-,l,o,N,-,-,o,-,-
tuam1242,-,-,-,-,r,o,N,-,-,o,-,-
penr1237,-,-,-,-,r,o,N,-,-,o,-,-
raro1241,-,-,-,-,r,o,N,-,-,o,-,-
mang1401,7,a,k,a,r,o,N,-,-,o,-,-
maor1246,-,-,-,-,r,o,N,-,-,o,-,-
raka1237,-,-,-,-,l,a,N,-,-,o,n,a
puka1242,-,-,-,-,l,a,N,-,-,o,n,a
rapa1244,-,-,N,a,r,o,7,-,-,a,-,-
nort2845,-,-,-,-,7,o,n,-,-,o,-,-
hawa1245,h,o,7,o,l,o,n,-,-,o,-,-
tahi1242,f,a,7,a,r,o,7,-,-,o,-,-
ruru1237,7,i,-,-,r,o,7,a,r,o,7,a
raiv1237,h,a,7,a,G,o,7,-,-,o,-,-
mele1250,-,-,-,-,r,o,N,-,-,o,n,a
