language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
tuam1242,-,-,-,r,-,-,-,a,n,o
tuam1242,-,-,-,r,-,-,-,o,t,o
raro1241,-,-,-,r,-,-,-,o,t,o
mang1401,-,-,-,r,-,-,-,a,n,o
maor1246,-,-,-,r,-,-,-,o,t,o
raka1237,-,-,-,r,-,-,-,o,t,o
puka1242,-,-,-,l,-,-,-,o,t,o
rapa1244,-,-,-,r,-,-,-,a,n,o
nort2845,v,a,i,7,-,-,-,o,t,o
hawa1245,-,-,-,l,-,-,-,o,k,o
tahi1242,-,-,-,r,-,-,-,o,t,o
futu1245,-,-,-,n,-,-,-,a,m,o
wall1257,-,-,-,-,-,-,-,a,n,o
wall1257,-,-,-,n,-,-,-,a,m,o
east2447,-,-,-,n,-,-,-,a,m,o
tiko1237,-,-,-,r,-,-,-,o,t,o
niue1239,-,-,-,l,-,-,-,o,t,o
niue1239,-,-,-,n,-,-,-,a,m,o
samo1305,-,-,-,l,-,-,-,a,n,o
samo1305,-,-,-,l,-,-,-,o,t,o
tuva1244,-,-,-,t,a,i,h,a,l,a
tong1325,-,-,-,-,-,-,-,a,n,o
renn1242,-,-,-,n,-,-,g,a,n,o
renn1242,-,-,-,n,-,-,g,o,t,o
kapi1249,-,-,-,r,-,-,-,o,t,o
mele1250,-,-,-,k,-,-,-,a,p,u
