language,x1,x2,x3,x4,x5,x6,x7,x8,x9
emae1237,p,-,-,-,o,-,-,-,-
futu1245,p,-,-,-,o,-,-,-,-
poly1242,p,-,-,-,o,-,-,-,-
tong1325,p,-,-,-,o,-,-,-,-
wall1257,p,-,-,-,o,-,-,-,-
wall1257,p,-,-,-,o,7,u,l,i
east2447,p,-,-,-,o,7,u,l,i
tiko1237,p,-,-,-,o,-,-,-,-
niue1239,p,-,-,-,o,-,-,-,-
niue1239,p,-,-,-,o,-,u,l,i
samo1305,p,-,-,-,o,-,-,-,-
tuva1244,p,-,-,-,o,-,-,-,-
tuva1244,p,-,-,-,o,-,u,l,i
tuva1244,t,a,i,a,o,-,-,-,-
anut1237,p,-,-,-,o,-,-,-,-
anut1237,p,-,-,-,o,-,u,r,i
renn1242,p,-,-,-,o,-,-,-,-
onto1237,p,-,-,-,o,-,-,-,-
sika1261,p,-,-,-,o,-,-,-,-
nuku1259,p,-,-,-,o,-,-,-,-
pile1238,p,-,-,-,o,-,-,-,-
kapi1249,b,-,-,-,o,-,-,-,-
tuam1242,r,-,-,-,u,-,-,k,i
tuam1242,p,-,-,-,o,-,-,-,-
penr1237,p,-,-,-,o,-,-,-,-
raro1241,p,-,-,-,o,-,-,-,-
mang1401,p,-,-,-,o,-,-,-,-
maor1246,p,-,-,-,o,-,-,-,-
raka1237,p,-,-,-,o,-,-,-,-
raka1237,p,-,-,-,o,-,i,r,i
puka1242,p,-,-,-,o,-,-,-,-
rapa1244,p,-,-,-,o,-,-,-,-
nort2845,p,-,-,-,o,-,-,-,-
hawa1245,p,-,-,-,o,-,-,-,-
tahi1242,p,-,-,-,o,-,-,-,-
ruru1237,p,-,-,-,o,-,-,-,-
raiv1237,p,-,-,-,o,-,-,-,-
mele1250,p,-,-,-,o,-,-,-,-
