language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
emae1237,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-
futu1245,-,-,-,S,i,k,a,-,-,-,-,-,i,-,-
poly1242,-,-,-,7,i,k,a,-,-,-,-,-,i,-,-
tong1325,-,-,-,7,i,k,a,-,-,-,-,-,i,-,-
wall1257,-,-,-,h,e,7,-,-,-,-,-,-,e,-,-
east2447,-,-,-,s,-,-,-,-,-,-,-,-,e,-,-
tiko1237,-,-,-,s,i,-,-,-,-,-,-,-,e,-,i
niue1239,-,-,-,t,-,-,-,-,-,-,-,-,e,-,-
samo1305,-,-,-,l,e,-,a,-,-,-,-,-,i,-,-
samo1305,-,-,-,-,i,7,a,-,-,-,-,-,i,-,-
tuva1244,-,-,-,-,i,k,a,-,-,-,-,-,i,-,-
tuva1244,-,-,-,-,-,m,o,-,-,-,-,-,e,-,-
anut1237,-,-,-,-,-,k,a,-,-,-,-,-,i,r,o
renn1242,-,-,-,s,i,-,a,-,-,-,-,-,i,-,-
renn1242,-,-,-,s,i,7,a,-,-,-,-,-,i,-,-
onto1237,-,-,-,h,-,-,-,-,-,-,-,-,e,-,-
sika1261,-,-,-,h,-,-,-,-,-,-,-,-,e,a,i
nuku1259,-,-,-,t,-,-,-,-,-,-,-,-,e,-,-
pile1238,-,-,-,s,i,-,a,-,-,-,-,-,i,-,-
kapi1249,-,-,-,t,-,-,-,-,-,-,-,-,e,-,-
tuam1242,-,-,-,k,-,-,a,-,u,r,a,k,a,-,-
penr1237,-,-,-,k,-,-,a,-,-,r,-,-,e,-,-
raro1241,-,-,-,k,-,-,a,7,o,r,-,-,e,-,-
raro1241,-,-,-,7,-,-,a,-,u,r,a,k,a,-,-
mang1401,-,-,-,k,-,-,o,-,-,r,-,-,e,-,-
maor1246,-,-,-,k,-,-,a,h,o,r,-,-,e,-,-
raka1237,e,-,-,k,-,-,o,-,-,r,-,-,e,-,-
puka1242,-,-,-,-,-,-,-,-,-,y,-,-,e,-,-
puka1242,-,-,-,k,i,-,a,-,-,-,-,-,i,-,-
puka1242,-,-,-,k,-,-,a,-,-,y,-,-,i,-,-
puka1242,-,-,-,k,-,-,a,-,-,n,-,-,i,-,-
puka1242,-,-,-,k,-,-,a,k,o,l,-,-,e,-,-
rapa1244,-,-,-,t,-,-,a,-,-,7,-,-,e,-,-
rapa1244,i,n,a,k,-,-,a,-,-,-,-,-,i,-,-
nort2845,-,-,-,i,-,-,-,-,-,-,-,-,e,a,i
nort2845,-,-,-,t,-,-,-,-,-,-,-,-,e,-,-
hawa1245,-,-,-,7,-,-,o,-,-,l,-,-,e,-,-
tahi1242,-,-,-,7,-,-,a,-,i,t,-,-,a,-,-
ruru1237,e,-,-,7,-,-,o,-,-,r,-,-,e,-,-
raiv1237,e,-,-,7,-,-,e,-,-,r,-,-,e,-,-
mele1250,-,-,-,s,-,-,a,-,-,-,-,-,i,-,-
