language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
emae1237,-,-,-,m,a,t,-,-,-,a,-,-,u,-
futu1245,-,-,-,m,a,t,-,-,-,a,-,-,u,-
poly1242,-,-,-,-,-,s,-,-,-,a,-,k,o,-
tong1325,-,-,-,m,a,t,-,-,-,a,-,7,u,-
wall1257,-,-,-,m,a,t,-,-,-,a,-,7,u,-
east2447,-,-,-,7,a,t,a,m,-,a,-,-,i,-
tiko1237,-,-,-,m,a,t,-,-,-,a,-,-,u,-
niue1239,-,-,-,m,a,t,-,-,-,a,-,-,u,-
samo1305,t,a,u,m,a,t,-,-,-,a,-,-,u,-
tuva1244,-,-,-,-,a,t,a,m,-,a,-,-,i,-
tuva1244,-,-,-,m,a,t,-,-,-,a,-,-,u,-
tuva1244,-,-,-,p,o,t,-,-,-,-,-,-,o,-
anut1237,-,-,-,m,a,t,-,-,-,a,-,-,u,-
renn1242,-,-,-,m,a,-,-,-,-,-,-,-,u,i
onto1237,-,-,-,-,-,l,-,-,-,a,-,-,u,a
sika1261,-,-,-,-,a,t,a,m,-,a,-,-,i,-
nuku1259,-,-,-,-,-,m,-,-,-,a,-,-,u,a
pile1238,-,-,-,-,-,t,-,-,-,o,i,l,o,-
kapi1249,-,-,-,-,-,t,-,-,-,a,-,-,u,-
kapi1249,-,-,-,-,-,t,-,-,-,o,-,n,u,-
tuam1242,-,-,-,k,a,t,-,-,-,a,-,-,u,-
penr1237,-,-,-,k,a,t,-,-,-,a,-,-,u,-
raro1241,-,-,-,k,a,t,-,-,-,a,-,-,u,-
maor1246,-,-,-,k,a,t,-,-,-,a,-,-,u,-
maor1246,-,-,-,m,a,t,-,-,-,a,-,-,u,-
raka1237,-,-,-,k,a,t,-,-,-,a,-,-,u,-
puka1242,-,-,-,m,a,t,-,-,-,a,-,-,u,-
rapa1244,-,-,-,m,a,t,-,-,-,a,-,7,u,-
nort2845,-,-,-,-,a,t,a,m,-,a,-,-,i,-
nort2845,-,-,-,-,-,7,i,m,a,o,-,k,o,-
hawa1245,-,-,-,7,a,k,-,-,-,a,-,-,u,-
tahi1242,-,-,-,7,a,t,-,-,-,a,-,-,u,-
ruru1237,-,-,-,7,a,t,-,-,-,a,-,-,u,-
raiv1237,-,-,-,7,a,t,-,-,-,a,-,-,u,-
mele1250,-,-,-,m,a,t,-,-,-,a,-,-,u,-
