language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
emae1237,-,-,p,-,-,a,-,k,a,k,a,-,u,-,-,-,-
futu1245,-,-,p,-,-,a,-,k,-,-,a,-,u,-,-,-,-
poly1242,k,a,p,-,-,a,-,k,-,-,a,-,u,-,-,-,-
tong1325,k,a,p,-,-,a,-,k,-,-,a,-,u,-,-,-,-
wall1257,k,a,p,-,-,a,-,k,-,-,a,-,u,-,-,-,-
east2447,k,a,p,-,-,a,-,k,-,-,a,-,u,-,-,-,-
tiko1237,k,a,p,-,-,a,-,k,-,-,a,-,u,-,-,-,-
niue1239,t,a,p,-,-,a,-,k,-,-,a,-,u,-,-,-,-
niue1239,-,-,p,-,-,e,-,h,-,-,a,-,u,-,-,-,-
samo1305,7,a,p,-,-,a,-,7,-,-,a,-,u,-,-,-,-
tuva1244,k,a,p,-,-,a,-,k,-,-,a,-,u,-,-,-,-
anut1237,k,a,p,-,-,a,-,k,-,-,a,-,u,-,-,-,-
renn1242,k,a,p,-,-,a,-,k,-,-,a,-,u,-,-,-,-
onto1237,-,a,p,-,-,a,-,7,-,-,a,-,u,-,-,-,-
sika1261,k,a,p,-,-,a,-,k,-,-,a,-,u,-,-,-,-
nuku1259,k,a,p,-,-,a,-,k,-,-,a,-,u,-,-,-,-
pile1238,k,a,p,-,-,a,-,k,-,-,a,-,u,-,-,-,-
kapi1249,-,-,b,-,-,a,-,k,-,-,a,-,u,m,a,n,u
tuam1242,-,-,p,e,r,e,-,r,-,-,a,-,u,-,-,-,-
penr1237,-,-,p,e,r,e,-,r,-,-,a,-,u,-,-,-,-
raro1241,-,-,p,-,-,e,-,7,-,-,a,-,u,-,-,-,-
mang1401,-,-,p,-,-,e,-,h,-,-,a,-,u,-,-,-,-
mang1401,-,-,p,e,r,e,-,r,-,-,a,-,u,-,-,-,-
maor1246,-,-,p,a,r,i,-,r,-,-,a,-,u,-,-,-,-
raka1237,-,-,p,a,-,e,-,h,-,-,a,-,u,-,-,-,-
puka1242,k,a,p,-,-,a,-,k,-,-,a,p,a,-,-,-,-
puka1242,-,-,p,-,-,a,-,k,a,y,a,-,u,-,-,-,-
rapa1244,-,-,k,-,-,a,r,7,-,-,a,-,-,-,-,-,-
nort2845,-,-,p,-,-,e,-,k,-,-,e,-,u,-,-,-,-
hawa1245,-,-,7,-,-,e,-,h,-,-,e,-,u,-,-,-,-
tahi1242,-,-,p,e,r,e,-,r,-,-,a,-,u,-,-,-,-
ruru1237,-,-,p,e,r,e,-,r,-,-,a,-,u,-,-,-,-
raiv1237,-,-,m,a,-,i,-,t,-,-,-,-,i,-,-,-,-
mele1250,-,-,p,-,-,e,-,k,-,-,a,-,u,-,-,-,-
