id,doculect,concept,forms,lexstatid,db
255773,khas1269,ALL,r o ʔ,1,nagarajakhasian
255774,lyng1241,ALL,p r o k,1,nagarajakhasian
255775,warj1242,ALL,b ə r ɒ ʔ,1,nagarajakhasian
255776,shwe1236,ALL,p ai̯,3,nagarajakhasian
255777,khmu1256,ALL,s a m,2,nagarajakhasian
255778,khas1269,AND,b aː d,4,nagarajakhasian
255779,warj1242,AND,w aː,5,nagarajakhasian
255780,khas1269,ANIMAL,m r aː d,6,nagarajakhasian
255781,khas1269,ASH,d p ei̯,7,nagarajakhasian
255782,lyng1241,ASH,ə p a w,9,nagarajakhasian
255783,warj1242,ASH,t v ʊ,11,nagarajakhasian
255784,shwe1236,ASH,k ə h v a ŋ,10,nagarajakhasian
255785,khmu1256,ASH,b ɔ h,8,nagarajakhasian
255786,khas1269,AT,h a,12,nagarajakhasian
255787,lyng1241,AT,h e,12,nagarajakhasian
255788,warj1242,AT,t i,14,nagarajakhasian
255789,khmu1256,AT,d a ʔ,13,nagarajakhasian
255790,khas1269,BACK,d i e n,15,nagarajakhasian
255791,lyng1241,BACK,b a d + d o n,17,nagarajakhasian
255792,warj1242,BACK,t ə m p ɒ ŋ,15,nagarajakhasian
255793,shwe1236,BACK,k r ɔ ŋ,16,nagarajakhasian
255794,khmu1256,BACK,k d r ɔː ŋ,16,nagarajakhasian
255795,khas1269,BAD,s ɲ i e w,18,nagarajakhasian
255796,lyng1241,BAD,k ɨ cʰ a,20,nagarajakhasian
255797,warj1242,BAD,k ɒ̃ m,22,nagarajakhasian
255798,shwe1236,BAD,kʰ u,21,nagarajakhasian
255799,khmu1256,BAD,ɲ oː ɲ,19,nagarajakhasian
255800,khas1269,BARK,s e p,23,nagarajakhasian
255801,lyng1241,BARK,s i e ʔ,25,nagarajakhasian
255802,warj1242,BARK,s ɪ ə ʔ,25,nagarajakhasian
255803,shwe1236,BARK,g ɔ ʔ,26,nagarajakhasian
255804,khmu1256,BARK,s ə ŋ kʰ r a ʔ,24,nagarajakhasian
255805,khas1269,BECAUSE,n a m a r,29,nagarajakhasian
255806,lyng1241,BECAUSE,a m t e,31,nagarajakhasian
255807,warj1242,BECAUSE,k a ʔ,32,nagarajakhasian
255808,khmu1256,BECAUSE,j ɔ ʔ,30,nagarajakhasian
255809,khas1269,BELLY,k p o ʔ,33,nagarajakhasian
255810,lyng1241,BELLY,l ə w b a ʔ,35,nagarajakhasian
255811,warj1242,BELLY,p ɒ ʔ,33,nagarajakhasian
255812,shwe1236,BELLY,v ɛ ʔ,36,nagarajakhasian
255813,khmu1256,BELLY,l uː j,34,nagarajakhasian
255814,khas1269,BIG,h e ʔ,37,nagarajakhasian
255815,lyng1241,BIG,k ɨ m b a,39,nagarajakhasian
255816,warj1242,BIG,m ɪ a,41,nagarajakhasian
255817,shwe1236,BIG,d a ŋ,40,nagarajakhasian
255818,khmu1256,BIG,h a m,38,nagarajakhasian
255819,khas1269,BIRD,s i m,42,nagarajakhasian
255820,lyng1241,BIRD,s i m,42,nagarajakhasian
255821,warj1242,BIRD,k s e m,42,nagarajakhasian
255822,shwe1236,BIRD,s i m,42,nagarajakhasian
255823,khmu1256,BIRD,s iː m,42,nagarajakhasian
255824,khas1269,BITE,d ai̯ t,43,nagarajakhasian
255825,lyng1241,BITE,k ɨ nː a p,45,nagarajakhasian
255826,warj1242,BITE,h i t,47,nagarajakhasian
255827,shwe1236,BITE,g a ʔ,46,nagarajakhasian
255828,khmu1256,BITE,p o k,44,nagarajakhasian
255829,khas1269,BLACK,j o ŋ,48,nagarajakhasian
255830,lyng1241,BLACK,ɨ ɲ o ŋ,48,nagarajakhasian
255831,warj1242,BLACK,p r i ŋ,51,nagarajakhasian
255832,shwe1236,BLACK,j ə m,50,nagarajakhasian
255833,khmu1256,BLACK,h i ə ŋ,49,nagarajakhasian
255834,khas1269,BLOOD,s a m,52,nagarajakhasian
255835,lyng1241,BLOOD,s a m,52,nagarajakhasian
255836,warj1242,BLOOD,r ʊ ə,53,nagarajakhasian
255837,shwe1236,BLOOD,h a m,52,nagarajakhasian
255838,khmu1256,BLOOD,m aː m,52,nagarajakhasian
255839,khas1269,BLOW (OF WIND),p ɨ r s a t,54,nagarajakhasian
255840,lyng1241,BLOW (OF WIND),pʰ ɨ nː u r,56,nagarajakhasian
255841,warj1242,BLOW (OF WIND),p e t,54,nagarajakhasian
255842,shwe1236,BLOW (OF WIND),p u t,54,nagarajakhasian
255843,khmu1256,BLOW (OF WIND),h u r,55,nagarajakhasian
255844,khas1269,BONE,ʃ ʔ e ŋ,61,nagarajakhasian
255845,lyng1241,BONE,c ʔ e ŋ,61,nagarajakhasian
255846,warj1242,BONE,tʃ ɪ ə ʔ,62,nagarajakhasian
255847,shwe1236,BONE,k ə ʔ a ŋ,61,nagarajakhasian
255848,khmu1256,BONE,c ə ʔ aː ŋ,61,nagarajakhasian
255849,khas1269,BREATHE,r i ŋ + m ɨ n s i e m,63,nagarajakhasian
255850,lyng1241,BREATHE,r i ŋ + ɨ n s o m,63,nagarajakhasian
255851,warj1242,BREATHE,r e ŋ + h ə n s ʊ,63,nagarajakhasian
255852,shwe1236,BREATHE,pʰ ɯ m,65,nagarajakhasian
255853,khmu1256,BREATHE,h r ɲ ɨ ə m,64,nagarajakhasian
255854,khas1269,BURN,tʰ a ŋ,66,nagarajakhasian
255855,lyng1241,BURN,ɨ tʰ a ŋ,66,nagarajakhasian
255856,warj1242,BURN,ɵ/θ a ŋ,66,nagarajakhasian
255857,shwe1236,BURN,g u t,68,nagarajakhasian
255858,khmu1256,BURN,p ɔː k,67,nagarajakhasian
255859,khas1269,CHILD,kʰ u n,69,nagarajakhasian
255860,lyng1241,CHILD,kʰ o n,69,nagarajakhasian
255861,warj1242,CHILD,h ʊ n,69,nagarajakhasian
255862,shwe1236,CHILD,k u ə n,69,nagarajakhasian
255863,khmu1256,CHILD,k ɔː n,69,nagarajakhasian
255864,khas1269,CLOUD,l ʔ o ʔ,70,nagarajakhasian
255865,lyng1241,CLOUD,l ʔ o ʔ,70,nagarajakhasian
255866,warj1242,CLOUD,l ə m p e m,73,nagarajakhasian
255867,shwe1236,CLOUD,u t,72,nagarajakhasian
255868,khmu1256,CLOUD,h ə m p uː t,71,nagarajakhasian
255869,khas1269,COLD,kʰ r i a t,74,nagarajakhasian
255870,lyng1241,COLD,b ɨ n s i r,76,nagarajakhasian
255871,warj1242,COLD,k t j a m,77,nagarajakhasian
255872,shwe1236,COLD,k a t,74,nagarajakhasian
255873,khmu1256,COLD,h uː c,75,nagarajakhasian
255874,khas1269,COME,w a n,78,nagarajakhasian
255875,lyng1241,COME,l ɨ nː a r,80,nagarajakhasian
255876,warj1242,COME,v a,78,nagarajakhasian
255877,shwe1236,COME,h l u h,81,nagarajakhasian
255878,khmu1256,COME,g aːi̯,79,nagarajakhasian
255879,khas1269,COUNT,ɲ j a w,84,nagarajakhasian
255880,lyng1241,COUNT,cʰ ɨ nː a n,86,nagarajakhasian
255881,warj1242,COUNT,tʃ aː,87,nagarajakhasian
255882,shwe1236,COUNT,d i r,87,nagarajakhasian
255883,khmu1256,COUNT,n a p,85,nagarajakhasian
255884,khas1269,CUT,kʰ a p,88,nagarajakhasian
255885,lyng1241,CUT,kʰ ɨ nː a p,88,nagarajakhasian
255886,warj1242,CUT,p a m,89,nagarajakhasian
255887,shwe1236,CUT,s e t,90,nagarajakhasian
255888,khmu1256,CUT,p aː t,89,nagarajakhasian
255889,khas1269,DAY (NOT NIGHT),s ŋ i,91,nagarajakhasian
255890,lyng1241,DAY (NOT NIGHT),s ŋ ei̯,91,nagarajakhasian
255891,warj1242,DAY (NOT NIGHT),ʃ ŋ aː,91,nagarajakhasian
255892,shwe1236,DAY (NOT NIGHT),s ə ŋ i,91,nagarajakhasian
255893,khmu1256,DAY (NOT NIGHT),s i ʔ,91,nagarajakhasian
255894,khas1269,DIE,j a p,92,nagarajakhasian
255895,lyng1241,DIE,ɲ i nː a p,92,nagarajakhasian
255896,warj1242,DIE,j i p,92,nagarajakhasian
255897,shwe1236,DIE,j ə m,92,nagarajakhasian
255898,khmu1256,DIE,h aː n,93,nagarajakhasian
255899,khas1269,DIG,t i ʔ,94,nagarajakhasian
255900,lyng1241,DIG,t ɨ nː i e t,96,nagarajakhasian
255901,warj1242,DIG,t ɪ ə ʔ,94,nagarajakhasian
255902,shwe1236,DIG,p u ə r,97,nagarajakhasian
255903,khmu1256,DIG,kʰ ɨ ə ŋ,95,nagarajakhasian
255904,khas1269,DIRTY,ɟ a b o ʔ,98,nagarajakhasian
