id,doculect,concept,forms,lexstatid,db
275113,moro1292,ALL,k o lː,1,ratcliffearabic
275114,malt1254,ALL,k o lː u,1,ratcliffearabic
275115,egyp1253,ALL,k u lː,1,ratcliffearabic
275116,nort3139,ALL,k ə lː,1,ratcliffearabic
275117,jude1266,ALL,k u lː,1,ratcliffearabic
275118,nort3139,ALL,tʃ i lː,1,ratcliffearabic
275119,jude1266,ALL,k ə lː,1,ratcliffearabic
275120,cypr1248,ALL,k u lː,1,ratcliffearabic
275121,gulf1241,ALL,k i l,1,ratcliffearabic
275122,jude1267,ALL,k u lː,1,ratcliffearabic
275123,uzbe1248,ALL,k u lː u,1,ratcliffearabic
275124,moro1292,ASH,rˤ m a dˤ,2,ratcliffearabic
275125,malt1254,ASH,r m iː d,2,ratcliffearabic
275126,egyp1253,ASH,r a m aː dˤ,2,ratcliffearabic
275127,nort3139,ASH,r a m aː d,2,ratcliffearabic
275128,jude1266,ASH,r u m aː d,2,ratcliffearabic
275129,jude1266,ASH,rˤ a m aː d,2,ratcliffearabic
275130,cypr1248,ASH,r a m a t r m d,2,ratcliffearabic
275131,gulf1241,ASH,r a m a a d,2,ratcliffearabic
275132,uzbe1248,ASH,r a mˁ a tː,2,ratcliffearabic
275133,moro1292,BARK,q e ʃ rˤ a,4,ratcliffearabic
275134,malt1254,BARK,ʔ o ʃ r a,4,ratcliffearabic
275135,egyp1253,BARK,ʔ i ʃ r,4,ratcliffearabic
275136,jude1266,BARK,g i ʃ r a,4,ratcliffearabic
275137,nort3139,BARK,k i ʃ r,4,ratcliffearabic
275138,gulf1241,BARK,g i ʃ r a,4,ratcliffearabic
275139,jude1267,BARK,g i ʃ r,4,ratcliffearabic
275140,chad1249,BARK,l iː h e,3,ratcliffearabic
275141,egyp1253,BELLY,b a tˤ n,5,ratcliffearabic
275142,nort3139,BELLY,b a tˤ ə n,5,ratcliffearabic
275143,jude1266,BELLY,b a tˤ i n,5,ratcliffearabic
275144,nort3139,BELLY,b a tˤ n,5,ratcliffearabic
275145,cypr1248,BELLY,p a t n b tˤ n,5,ratcliffearabic
275146,gulf1241,BELLY,b a tˤ n,5,ratcliffearabic
275147,jude1267,BELLY,b a tˤ n,5,ratcliffearabic
275148,uzbe1248,BELLY,b a t i n,5,ratcliffearabic
275149,moro1292,BIG,k b i r,6,ratcliffearabic
275150,malt1254,BIG,k i b i r,6,ratcliffearabic
275151,egyp1253,BIG,k i b iː r,6,ratcliffearabic
275152,nort3139,BIG,k b iː r,6,ratcliffearabic
275153,jude1266,BIG,tʃ b iː r,6,ratcliffearabic
275154,nort3139,BIG,tʃ a b iː r,6,ratcliffearabic
275155,jude1266,BIG,g ə b iː r,6,ratcliffearabic
275156,cypr1248,BIG,k b r,6,ratcliffearabic
275157,jude1267,BIG,k a b iː r,6,ratcliffearabic
275158,chad1249,BIG,k a b iː r,6,ratcliffearabic
275159,uzbe1248,BIG,k a bˤ iː r,6,ratcliffearabic
275160,moro1292,BIRD,tˤ i r,7,ratcliffearabic
275161,egyp1253,BIRD,tˤ eː r,7,ratcliffearabic
275162,nort3139,BIRD,tˤ eː r,7,ratcliffearabic
275163,jude1266,BIRD,tˤ eː r,7,ratcliffearabic
275164,nort3139,BIRD,tˤ eː r,7,ratcliffearabic
275165,gulf1241,BIRD,tˤ eː r,7,ratcliffearabic
275166,jude1267,BIRD,tˤ a j r,7,ratcliffearabic
275167,chad1249,BIRD,tˤ eː r a,7,ratcliffearabic
275168,uzbe1248,BIRD,t ai̯ r a,7,ratcliffearabic
275169,moro1292,BITE,ʕ e d ˀdˁ,9,ratcliffearabic
275170,egyp1253,BITE,ʕ a dˤː,9,ratcliffearabic
275171,nort3139,BITE,ʕ a dˤː,9,ratcliffearabic
275172,jude1266,BITE,ʕ a ðˤː,9,ratcliffearabic
275173,nort3139,BITE,ʕ a ðˤː,9,ratcliffearabic
275174,cypr1248,BITE,ʕ a ðː ʕ dˤ dˤ,9,ratcliffearabic
275175,gulf1241,BITE,ʕ a dˤː,9,ratcliffearabic
275176,chad1249,BITE,a dˤː a,8,ratcliffearabic
275177,uzbe1248,BITE,j a ʕ a zː,10,ratcliffearabic
275178,malt1254,BLACK,i s w e d,12,ratcliffearabic
275179,egyp1253,BLACK,i s w i d,12,ratcliffearabic
275180,nort3139,BLACK,ʔ a s w a d,12,ratcliffearabic
275181,jude1266,BLACK,ʔ a s w a d,12,ratcliffearabic
275182,nort3139,BLACK,ʔ a s w a d,12,ratcliffearabic
275183,jude1266,BLACK,ə s w ə d,12,ratcliffearabic
275184,cypr1248,BLACK,i s f e t s w d,11,ratcliffearabic
